text,class
Que horas são?,0
que horas são,0
que horas são?,0
Que horas são,0
Me diga as horas,0
me fale o horário,0
me diga o horário!,0
qual é o horário?,0
Qual é o Horário?,0
Que Horas são agora?,0
Me diga que horas são agora,0
Voce poderia me dizer que horas são agora? por favor?,0
qual é o horário atual?,0
Voce sabe que horas são?,0
você saberia me dizer que horas são?,0
Você pode me dizer o horario?,0
Voce poderia me dizer o horário?,0
Agora são que horas?,0
Agora é que horário?,0
voce pode me falar o horário?,0
voce pode me falar as horas?,0
voce poderia me falar que horas são?,0
Você poderia me falar o horário?,0
Voce poderia me falar o horário atual?,0
Voce sabe me falar as horas?,0
Você saberia me falar que horas são?,0
você saberia me falar o horário?,0
você saberia me falar o horário atual?,0
tu entende que horas são agora?,0
tu pode me falar o horário?,0
tu sabe me falar o horário,0
tu pode me falar as horas?,0
Tu pode me dizer o horário?,0
Tu pode me dizer as horas?,0
diga o horário por favor,0
fale que horas são agora,0
explique que horas são agora,0
me explique que horas são,0
voce pode me dizer que horas o visor do computador?,0
voce pode me dizer que horas o relogio esta marcando?,0
você sabe que horas o relógio marca agora?,0
você poderia me dizer que horas o relógio marca agora?,0
voce saberia me dizer que horas o relígio marca agora?,0
que horas marca no relógio?,0
o relógio marca que horas agora?,0
me diga o horário que marca no relógio,0
me diga o horário que o relógio esta marcando,0
me fale que horas o relogio esta marcando,0
me fale que horas marca no relógio,0
o relógio esta marcando que horas?,0
me fale o horario que o seu relógio marca,0
me diga as horas que estão no seu relógio,0
voce pode me dizer as horas que marcam o seu relógio?,0
que horas são? de acordo com o relógio?,0
"de acordo com o relógio, que horas são?",0
fale-me que horas são,0
diga me que horas são,0
fale-me o horário,0
diga-me o horário por favor,0
voce pode ir falando que horas são agora?,0
voce pode ir dizendo que horas são?,0
voce entende que horas são?,0
voce entenderia se eu te pedisse o horário?,0
voce pode entender se eu pedir o horário pra voce?,0
qual é o horário que voce checou no seu relógio?,0
"se eu te pedir o horário, voce me responderia?",0
voce pode me responder qual é o horário atual?,0
voce pode me responder o horário?,0
que horas voce me responderia se eu te pedisse o horário?,0
você responderia se eu te pedisse o horário?,0
você responderia se eu te pedisse as horas?,0
"se eu te pedir as horas, você me responderia?",0
me responda que horás são,0
me responda o horário atual,0
me responda o horário que o relógio marca,0
me responda as horas que o relógio marca agora,0
pode me responder as horas?,0
tu pode me responder as horas?,0
tu pode me responder o horário?,0
Tu responderia se eu te pedisse as horás?,0
tu pode me responder que horas são?,0
tu responderia se eu te pedisse o horário?,0
tu poderia me responder o horário?,0
tu pode me responder o horário atual?,0
"se eu pedir, tu me responde que horas são?",0
tu entende que horas são?,0
tu entenderia se eu te pedisse o horário?,0
tu pode me explicar que horas são?,0
me diga que horas esta mostrando no computador,0
me fale que horas o computador esta mostrando,0
me diga que horas o computador mostra,0
me fale que horas o computador mostra,0
que horas o computador mostra,0
qual é o horário que o computador mostra,0
me fale qual é o horario que esta mostrando no computador,0
me diga qual é o horário que esta mostrando no visor,0
fale-me que horas mostra no visor do computador,0
diga-me o horário que mostra no visor do computador,0
pesquise sobre,1
Pesquise sobre,1
Pesquisar sobre,1
Você pode pesquisar sobre,1
Voce poderia pesquisar sobre,1
Voce pode procurar sobre,1
você poderia procurar sobre,1
procure sobre,1
Procurar sobre,1
pesquise quem,1
pesquise quando,1
pesquise como,1
pesquise qual,1
pesquise onde,1
pesquise por que,1
pesquise porque,1
pesquise quanto,1
pesquise de quem,1
pesquise o que,1
pesquisar quem,1
pesquisar quando,1
pesquisar como,1
pesquisar qual,1
pesquisar onde,1
pesquisar por que,1
pesquisar porque,1
pesquisar quanto,1
pesquisar de quem,1
pesquisar o que,1
procure quem,1
procure quando,1
procure como,1
procure qual,1
procure onde,1
procure por que,1
procure porque,1
procure quanto,1
procure de quem,1
procure o que,1
procurar quem,1
procurar quando,1
procurar como,1
procurar qual,1
procurar onde,1
procurar por que,1
procurar porque,1
procurar quanto,1
procurar de quem,1
procurar o que,1
quem é,1
quem são,1
me fale quem é,1
me fale quem são,1
me diga quem é,1
me diga quem são,1
qual é,1
me fale qual é,1
me diga qual é,1
quando foi,1
quando será,1
me fale quando foi,1
me fale quando será,1
me diga quando foi,1
me diga quando será,1
quando irá acontecer,1
diga me quando ira acontecer,1
diga me quando será,1
diga me quando foi,1
onde foi,1
onde será,1
me diga onde foi,1
diga me onde foi,1
diga me onde sera,1
me diga onde será,1
me fale onde foi,1
me fale onde será,1
"porque ",1
me diga o porque,1
por que,1
me fale o por que,1
"me diga o por que ",1
diga me o por que,1
fale me o por que,1
"o que ",1
me diga o que,1
me fale o que,1
como,1
me diga como,1
me fale como,1
me explique como,1
me explique quando foi,1
me explique quando será,1
me explique por que,1
me explique quem foi,1
me explique sobre,1
me explique quanto,1
me explique qual,1
me explique como,1
me explique qual foi,1
me explique qual será,1
