text,class
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
que horas são?,0
diga as horas,0
fale o horário,0
qual é o horário atual?,0
horário,0
horas,0
diga o horário,0
que horas São??,0
que horas são,0
pesquise O que você acha sobre política?,1
pesquise Quando foi fundada a ONU?,1
"pesquise Quem é o autor de ""Dom Casmurro""?",1
pesquise Como funciona a fotossíntese?,1
pesquise Onde fica a Grande Muralha da China?,1
pesquise Qual é a causa das mudanças climáticas?,1
pesquise Por que as abelhas são importantes para o ecossistema?,1
pesquise O que é a teoria da relatividade de Einstein?,1
pesquise Qual é o propósito da Declaração Universal dos Direitos Humanos?,1
pesquise Quando ocorreu a Revolução Industrial?,1
pesquise Quem são os principais artistas do Renascimento?,1
pesquise Como a inteligência artificial está impactando a medicina?,1
pesquise Onde está localizado o deserto do Saara?,1
pesquise Qual é a importância da diversidade cultural?,1
explique Por que os vulcões entram em erupção?,1
explique Como ocorre a produção de energia em usinas nucleares?,1
explique Quem foi Martin Luther King Jr.?,1
explique O que é a teoria do Big Bang?,1
explique Quando começou a Segunda Guerra Mundial?,1
explique Como as redes neurais artificiais funcionam?,1
explique Onde podemos encontrar a maior reserva de água doce do mundo?,1
explique Qual é a importância da educação para a sociedade?,1
explique Por que os oceanos são fundamentais para o equilíbrio ambiental?,1
explique Como funciona o sistema de freios de um carro?,1
explique Quando ocorreu a Revolução Francesa?,1
explique Quem são os principais filósofos da Grécia Antiga?,1
explique Qual é a origem da vida na Terra?,1
explique O que são os direitos humanos?,1
explique Como a globalização afeta as culturas locais?,1
explique Onde está localizada a Grande Barreira de Coral?,1
explique Qual é a importância da conservação da biodiversidade?,1
explique Por que as plantas precisam de luz para crescer?,1
explique Como os terremotos são detectados e medidos?,1
explique Quando foi inventado o avião?,1
explique Quem foi Marie Curie e qual foi sua contribuição para a ciência?,1
pesquise O que é a teoria da evolução de Charles Darwin?,1
pesquise Como a tecnologia está transformando a indústria da música?,1
pesquisar Onde fica a Cidade do Vaticano?,1
pesquisar Qual é a importância da ética na pesquisa científica?,1
pesquisar Por que os alimentos estragam?,1
pesquisar Como ocorrem as marés?,1
pesquisar O que é a teoria das cordas na física?,1
pesquisar Quando foi a Revolução Cubana?,1
pesquisar Quem foi Nelson Mandela e qual foi seu papel na história da África do Sul?,1
pesquisar Qual é o processo de fabricação de células solares?,1
pesquisar Onde podemos encontrar a maior floresta tropical do mundo?,1
pesquisar O que é inteligência emocional?,1
pesquisar Quando ocorreu a queda do Muro de Berlim?,1
pesquisar Quem foi Leonardo da Vinci e quais foram suas realizações?,1
pesquisar Como a inteligência artificial está sendo usada na indústria automobilística?,1
pesquisar Onde está localizado o Triângulo das Bermudas?,1
pesquisar Qual é a importância da água para a vida na Terra?,1
pesquisar Por que ocorrem os eclipses solares?,1
pesquisar Como funciona o sistema de GPS?,1
pesquisar Quando surgiu a internet?,1
pesquisar Quem foram os líderes da Revolução Russa?,1
pesquisar Qual é o impacto das redes sociais na sociedade?,1
pesquisar Por que as abelhas estão desaparecendo?,1
pesquisar Como a poluição do ar afeta a saúde humana?,1
explicar Onde está localizada a Muralha de Adriano?,1
explicar Qual é a importância da democracia para uma nação?,1
explicar Como ocorre a fotodegradação dos plásticos?,1
explicar Quando foi a Revolução Americana?,1
explicar Quem foi Galileu Galilei e quais foram suas contribuições para a astronomia?,1
explicar O que é a teoria da conspiração do pouso na lua?,1
explicar Por que os furacões têm nomes?,1
explicar Como funciona a terapia genética?,1
explicar Onde estão os Montes Urais?,1
explicar Qual é a importância da reciclagem de resíduos?,1
explicar Quando foi a Revolução Industrial no Brasil?,1
explicar Quem foram os exploradores que chegaram à América antes de Colombo?,1
explicar O que é a inteligência artificial fraca?,1
explicar Por que o aquecimento global está derretendo as calotas polares?,1
explicar Como as ondas de rádio são transmitidas?,1
explicar Qual é a origem dos alimentos geneticamente modificados?,1
explicar Onde estão localizados os sítios arqueológicos de Machu Picchu?,1
explicar O que é a teoria da conspiração do assassinato de JFK?,1
explicar Como funcionam os motores a jato?,1
explicar Quando ocorreu a Revolução Chinesa?,1
explicar Quem foram os principais líderes da Revolução Industrial?,1
explicar Qual é a importância da arte na sociedade?,1
explicar Por que os pássaros migratórios viajam longas distâncias?,1
explique Como ocorre a formação de tornados?,1
explique Onde está localizado o Mar Morto?,1
explique O que é a teoria do caos na matemática?,1
explique Quando foi a Revolução Mexicana?,1
explique Quem foi Amelia Earhart e qual foi seu legado na aviação?,1
explique Qual é a importância da igualdade de gênero?,1
explique Por que a guerra fria aconteceu?,1
explique Como os antibióticos combatem as infecções?,1
explique Onde está localizado o Museu do Louvre?,1
explique O que é a teoria da relatividade restrita?,1
explique Quando ocorreu a Guerra Civil dos Estados Unidos?,1
pesquise Quem foi Mahatma Gandhi e qual foi seu papel na independência da Índia?,1
